Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
rancher/rancher-agent:v2.9-b456233ab32b27b221d14244df7b0223eacfe078-head,106,8,25,45,6,16,6,3197776140,53,verified,,534211324
hashicorp/consul-template:0.37,11,4,4,1,0,1,1,148487372,30,verified,integration-and-delivery/networking/security,8324749
newrelic/nri-kubernetes:3.28.8,5,2,2,0,0,0,1,1697413705,2,verified,,60716663
nginxinc/nginx-unprivileged:bookworm-perl,103,56,0,1,1,0,45,1108217140,152,verified,integration-and-delivery/security/web-servers,82589766
circleci/redis:7.0-rc1-alpine3.15,43,1,10,5,2,23,2,208782036,17,verified,,13474763
bitnami/mongodb:7.0.11,74,42,2,1,1,0,28,1692607955,251,verified,databases-and-storage/integration-and-delivery/internet-of-things,250689073
circleci/python:3.9-buster-browsers-legacy,2529,474,1330,465,39,79,142,205659640,88,verified,,1123374245
bitnami/mariadb:11.2.4,54,34,0,1,1,0,18,813828490,192,verified,databases-and-storage/security,7967
kong/kong-gateway:3.7.0.0-rhel-fips,1730,408,942,35,0,4,341,803037512,42,verified,,410999805
newrelic/php-daemon:10.18.0,54,4,9,10,2,23,6,135749196,7,verified,,11785047
bitnami/redis-cluster:6.2,51,33,0,1,2,0,15,140035032,50,verified,databases-and-storage/message-queues/security,48920316
portainer/agent:alpine-sts,32,5,11,0,0,9,7,1096229787,239,verified,integration-and-delivery/internet-of-things/monitoring-and-observability,71788755
rancher/agent:v1.2.8,1013,384,509,27,0,93,0,105333591,87,verified,integration-and-delivery/monitoring-and-observability/networking,88253258
amazon/amazon-ecs-agent:27ca59a0,9,3,0,0,0,0,6,1203865088,104,verified,,27829997
rancher/klipper-lb:v0.4.8-rc2,3,0,2,0,0,0,1,145142069,2,verified,,4983935
newrelic/k8s-metadata-injection:1.26.3,17,4,5,0,0,1,7,538865107,4,verified,,24771580
newrelic/nri-kubernetes:3.28.7,26,7,7,1,0,4,7,1697413705,2,verified,,58216260
hashicorp/consul-enterprise:1.15.12-ent,16,7,7,0,0,1,1,70663520,4,verified,monitoring-and-observability/networking/security,77376545
newrelic/newrelic-prometheus-configurator:1.16.0,26,7,6,1,0,4,8,210782930,4,verified,,12768647
amazon/aws-efs-csi-driver:227730e,33,7,6,8,1,5,6,922676599,4,verified,,80004635
newrelic/infrastructure:1.52.3,30,8,13,1,0,6,2,92932905,25,verified,,68973081
opensearchproject/opensearch:1.3.15,42,4,17,12,0,8,1,73185584,109,verified,databases-and-storage/machine-learning-and-ai/monitoring-and-observability,508252360
amazon/amazon-ecs-agent:arm64-27ca59a0,9,3,0,0,0,0,6,1203865088,104,verified,,25279523
circleci/redis:7.0-rc-alpine,43,1,10,5,2,23,2,208782036,17,verified,,13474763
docker/dockerfile:1,7,3,4,0,0,0,0,371178322,92,verified,developer-tools,11476523
lacework/datacollector:latest-sidecar,56,11,14,6,2,23,0,1203158697,20,verified,integration-and-delivery/monitoring-and-observability/security,41046991
onlyoffice/documentserver:8.0.1,535,116,380,24,0,15,0,90984485,362,verified,api-management/content-management-system/integration-and-delivery,1199069034
grafana/agent:main,25,11,7,3,1,1,2,376133531,22,verified,,218537943
cimg/redis:7.0,832,116,552,75,9,71,9,51786331,2,verified,databases-and-storage/integration-and-delivery,483395880
bitnami/elasticsearch:7-debian-12,863,107,667,54,1,8,26,105963086,77,verified,databases-and-storage/security/web-analytics,445215863
newrelic/nri-ecs:1.11.5-pre,38,8,14,1,0,7,8,253877798,2,verified,,195839730
rancher/mirrored-calico-node:v3.28.0-arm64,46,30,8,2,1,0,5,57918850,0,verified,,110487693
cimg/ruby:3.3.2-browsers,994,175,644,77,5,69,24,169466204,10,verified,languages-and-frameworks/integration-and-delivery/security,1279699165
jetbrains/youtrack:2024.1.26888,287,75,79,52,13,13,55,60450631,248,verified,content-management-system/integration-and-delivery,1033940701
nginx/nginx-ingress:edge-alpine,16,3,6,1,0,6,0,1022141035,92,verified,,53404430
bitnami/kafka:3.3,95,43,16,7,2,2,25,290524245,865,verified,integration-and-delivery/message-queues/monitoring-and-observability,372246071
circleci/postgres:9.6-bullseye-ram,241,59,40,66,21,0,55,501165403,32,verified,,84859961
newrelic/nri-kube-events:2.9.8,5,2,2,0,0,0,1,1701778886,2,verified,,31351080
cimg/base:current-20.04,685,98,470,52,5,52,8,206155807,14,verified,,423358300
docker/aci-hostnames-sidecar:1.0,84,1,23,43,3,14,0,981905330,2,verified,integration-and-delivery/networking,596382
amazon/aws-alb-ingress-controller:v2.4.5-linux_arm64,66,4,18,32,5,0,7,150418505,6,verified,integration-and-delivery/networking/security,15985909
hashicorp/vault-k8s:1.3,30,4,14,3,0,1,8,56983377,18,verified,integration-and-delivery/security,28967606
atlassian/pipelines-docker-daemon:v20-beta,315,19,96,101,15,77,7,87641738,5,verified,integration-and-delivery/operating-systems/security,88982021
bitnami/external-dns:0.14.1,64,34,9,2,2,1,16,1048862654,19,verified,integration-and-delivery/monitoring-and-observability/networking,7967
portainer/portainer-ce:2.20.3,19,3,6,4,0,0,6,1114967683,2277,verified,integration-and-delivery/monitoring-and-observability/networking,92890056
