Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
linuxserver/ddclient:3.11.2,13,3,6,1,0,3,0,80100071,171,sponsored,integration-and-delivery/internet-of-things/networking,25233797
paketobuildpacks/build:full-cnb,581,192,320,50,12,1,6,69622980,35,sponsored,languages-and-frameworks/integration-and-delivery/security,400548581
linuxserver/sickchill:2024.3.1,22,6,6,3,0,7,0,42206821,55,sponsored,content-management-system/integration-and-delivery,83976313
jenkins/jenkins:jdk17,97,61,1,1,4,0,30,4638550514,3920,sponsored,integration-and-delivery/monitoring-and-observability/security,282287439
selenium/node-firefox:126.0-20240522,336,93,229,14,0,0,0,69912463,151,sponsored,integration-and-delivery/operating-systems/web-servers,528285802
openebs/zfs-driver:ci,97,39,41,8,3,0,6,65502345,3,sponsored,,92659668
falcosecurity/falco:0.38.1,563,133,367,29,2,2,30,46824437,16,sponsored,,251
thanosio/thanos:main-2024-05-29-863d914,10,3,7,0,0,0,0,70362762,23,sponsored,databases-and-storage/integration-and-delivery/monitoring-and-observability,89970163
linuxserver/lidarr:arm64v8-2.4.0-nightly,11,0,4,7,0,0,0,554690558,446,sponsored,content-management-system/integration-and-delivery,108502439
linuxserver/bookstack:24.05.1,15,0,9,4,1,0,1,70521854,320,sponsored,content-management-system,105189599
sqlpad/sqlpad:7,64,33,6,4,1,0,20,104482029,47,sponsored,data-science/databases-and-storage,117593565
requarks/wiki:2,158,9,56,27,10,54,2,105395239,336,sponsored,content-management-system/integration-and-delivery/web-servers,138798107
linuxserver/resilio-sync:2.8.1,23,18,5,0,0,0,0,63785602,229,sponsored,data-science/networking/security,82819359
jupyter/scipy-notebook:x86_64-python-3.11,713,169,488,46,3,7,0,90836631,449,sponsored,data-science/machine-learning-and-ai,1316292371
linuxserver/lidarr:nightly-version-2.4.0.4212,15,0,6,7,0,0,2,554690558,446,sponsored,content-management-system/integration-and-delivery,111618397
testcontainers/ryuk:sha-2c469e6792c69398966a96e9bb818436efa15c88,9,3,4,0,0,1,1,274883239,13,sponsored,languages-and-frameworks,158187574
sqlpad/sqlpad:7.4.3,64,33,6,4,1,0,20,104482029,47,sponsored,data-science/databases-and-storage,117593565
linuxserver/calibre:v4-4.23.0-ls78,251,96,112,19,4,16,4,47854750,303,sponsored,content-management-system/databases-and-storage,1029201333
linuxserver/lidarr:2.4.0-nightly,11,0,4,7,0,0,0,554690558,446,sponsored,content-management-system/integration-and-delivery,111618397
linuxserver/beets:nightly-version-1b594790,105,4,57,22,6,16,0,49816206,155,sponsored,content-management-system/databases-and-storage,116053086
linuxserver/mariadb:10.11.8,4,1,3,0,0,0,0,404654251,391,sponsored,databases-and-storage/integration-and-delivery/security,101779546
jupyter/tensorflow-notebook:x86_64-notebook-7.0.6,723,169,496,48,2,8,0,74169327,365,sponsored,data-science/languages-and-frameworks/machine-learning-and-ai,1867308290
paketobuildpacks/run:1.3.177-full-cnb,496,173,305,12,5,1,0,42589227,1,sponsored,languages-and-frameworks/integration-and-delivery/security,268764098
linuxserver/tautulli:develop,25,6,10,3,0,5,1,977374373,421,sponsored,monitoring-and-observability/web-analytics,70671075
linuxserver/nzbget:testing,3,1,1,1,0,0,0,802165822,461,sponsored,,45792437
linuxserver/plex:arm64v8-1.40.2,33,17,11,0,0,5,0,857164503,1932,sponsored,content-management-system/networking/security,172464355
selenium/standalone-chrome:beta,92,50,42,0,0,0,0,422269184,578,sponsored,integration-and-delivery/monitoring-and-observability,506393010
jenkins/jenkins:latest-jdk11,97,61,1,1,4,0,30,4638550514,3920,sponsored,integration-and-delivery/monitoring-and-observability/security,284664704
redash/redash:10.0.0-beta.b50357,2133,326,1232,415,40,37,83,61364081,252,sponsored,data-science/web-analytics,446300916
linuxserver/rutorrent:v3.10-ls122,277,12,100,117,43,4,1,153555666,179,sponsored,,76910433
linuxserver/muximux:version-418923c8,95,6,32,42,15,0,0,104242833,168,sponsored,,23380521
istio/galley:1.5.8,1418,311,902,189,7,2,7,55188205,3,sponsored,integration-and-delivery/networking,91930736
jupyter/all-spark-notebook:x86_64-python-3.11.6,879,175,533,86,6,65,14,74501327,435,sponsored,data-science/languages-and-frameworks/machine-learning-and-ai,2150179520
istio/mixer:1.7.7-distroless,151,6,43,75,9,10,8,278019880,6,sponsored,integration-and-delivery/monitoring-and-observability/security,47967666
gogs/gogs:0.13.0,195,15,68,67,17,15,13,91202163,770,sponsored,languages-and-frameworks/integration-and-delivery/security,44996129
homeassistant/amd64-hassio-supervisor:2023.06.dev2201,302,27,105,93,13,50,14,46215560,153,sponsored,,114612662
tensorflow/tensorflow:latest-jupyter,492,93,354,29,0,16,0,77301907,2431,sponsored,,672913630
tensorflow/serving:nightly-devel,225,95,111,17,0,2,0,76028363,138,sponsored,api-management/integration-and-delivery/machine-learning-and-ai,3350791594
linuxserver/sickchill:amd64-2024.3.1,22,6,6,3,0,7,0,42206821,55,sponsored,content-management-system/integration-and-delivery,83976313
linuxserver/jackett:version-v0.22.71,4,0,3,0,0,0,1,1540647127,1137,sponsored,api-management/integration-and-delivery,77116796
localstack/localstack:latest-amd64,120,61,6,8,2,2,41,240014774,289,sponsored,api-management/databases-and-storage/integration-and-delivery,435796337
fluxcd/helm-operator:1.4.2,407,27,127,132,27,84,10,1024426501,6,sponsored,integration-and-delivery/monitoring-and-observability,84358968
verdaccio/verdaccio:5,3,0,2,0,0,0,1,209633280,193,sponsored,,57631954
tensorflow/serving:latest-gpu,296,90,191,14,0,1,0,76028363,138,sponsored,api-management/integration-and-delivery/machine-learning-and-ai,3741688194
istio/operator:1.21.3-distroless,12,3,7,1,0,0,1,6071557055,6,sponsored,monitoring-and-observability/networking/security,26223016
